probe_event_id,meeting_date,regime,n_days,paper_min_mode_prob,modes_aligned_share,mean_mode_gap,mean_spread_gap,mean_tail_gap,last_day_mode_gap,last_day_e_mode_p,last_day_p_mode_p
fed_2022-09-21,2022-09-21,mixed,10,0.65306122,1.0,0.111496565,-0.3040618503863369,-0.001020408,0.07142857000000002,1.0,0.92857143
fed_2022-11-02,2022-11-02,quiet,10,0.90816327,1.0,0.05908159000000003,-0.2532283862170336,0.0,0.051020410000000016,1.0,0.94897959
fed_2022-12-14,2022-12-14,mixed,11,0.79591837,1.0,0.1029684590909091,-0.3508469309804419,0.0,0.13265306,1.0,0.86734694
fed_2023-02-01,2023-02-01,quiet,11,0.91836735,1.0,-0.006485273636363601,0.019069608702751362,0.0,-0.016628839999999867,0.962963,0.9795918399999999
fed_2023-03-22,2023-03-22,contested,10,0.5102040800000001,0.7,0.007687009999999994,-0.10974878845592363,-0.004081632,-0.0036963700000000044,0.792222,0.79591837
fed_2023-05-03,2023-05-03,quiet,10,0.8571428600000001,1.0,-0.05922464799999999,0.09182344589551558,-0.002040816,-0.08627550999999989,0.8525,0.9387755099999999
fed_2023-06-14,2023-06-14,mixed,10,0.7244898000000001,1.0,-0.060267857000000036,0.07445497715801763,0.0,-0.03418367,0.925,0.95918367
fed_2023-07-26,2023-07-26,quiet,10,0.94897959,1.0,-0.08796734899999999,0.20182516077917748,0.0,-0.05979591999999989,0.93,0.9897959199999999
fed_2023-09-20,2023-09-20,quiet,10,0.96938776,1.0,-0.024591839999999955,0.07162570965994397,-0.0030612239999999995,-0.019795919999999967,0.97,0.9897959199999999
fed_2023-11-01,2023-11-01,quiet,11,0.96938776,1.0,-0.00387702545454543,0.010350354917982875,0.0,-0.010345000000000049,0.989655,1.0
fed_2023-12-13,2023-12-13,quiet,9,0.91836735,1.0,0.06632420555555554,-0.21075930143276425,0.0,0.08163264999999997,1.0,0.91836735
fed_2024-01-31,2024-01-31,quiet,10,0.96938776,1.0,-0.0055714319999999205,0.017384979878938497,0.0,0.0004081600000001018,0.98,0.9795918399999999
fed_2024-03-20,2024-03-20,quiet,10,0.9795918399999999,1.0,-0.015402743999999968,0.059133829416594307,0.0,0.0,1.0,1.0
fed_2024-05-01,2024-05-01,quiet,12,0.95918367,1.0,0.0021202924999999817,-0.021276582053245598,0.0,0.009945239999999966,0.979333,0.96938776
fed_2024-06-12,2024-06-12,quiet,10,0.9795918399999999,1.0,0.0070747600000001356,-0.03790226401074054,0.0,0.02040816000000012,1.0,0.9795918399999999
fed_2024-07-31,2024-07-31,quiet,11,0.95918367,1.0,-0.027662340000000007,0.08532415053613746,-0.0018552872727272726,-0.039795919999999985,0.95,0.9897959199999999
fed_2024-09-18,2024-09-18,contested,10,0.5306122400000001,1.0,-0.036479591,-0.02145261765902371,-0.006122447999999999,0.04438775999999989,0.575,0.5306122400000001
fed_2024-11-07,2024-11-07,mixed,10,0.8265306099999999,1.0,0.08062095599999998,-0.3016060740245198,-0.024489792000000003,0.02626423999999994,0.995652,0.96938776
fed_2024-12-18,2024-12-18,mixed,11,0.70408163,1.0,0.00969741818181819,-0.12470431627517597,-0.023191090909090908,0.035478649999999945,0.953846,0.91836735
fed_2025-01-29,2025-01-29,quiet,10,0.8571428600000001,1.0,0.11261224399999999,-0.32373883836718936,0.0,0.10244898000000002,0.98,0.87755102
fed_2025-03-19,2025-03-19,quiet,10,0.94897959,1.0,0.0017824770000000822,-0.02368060721415115,-0.002040816,0.01020408000000006,1.0,0.9897959199999999
fed_2025-05-07,2025-05-07,quiet,10,0.8877551,1.0,-0.003759221999999951,-0.02554543742159581,-0.016326529,0.007491160000000163,0.987083,0.9795918399999999
fed_2025-06-18,2025-06-18,quiet,10,0.94897959,1.0,0.02051020100000005,-0.09818243755230643,-0.001020408,0.01020408000000006,1.0,0.9897959199999999
fed_2025-07-30,2025-07-30,quiet,11,0.95918367,1.0,-0.0038961054545455006,0.007272778151655035,-0.0027829309090909088,0.0004081600000001018,0.98,0.9795918399999999
fed_2025-09-17,2025-09-17,mixed,11,0.80612245,1.0,0.09070940181818182,-0.32609399178624543,-0.011131723636363635,0.05604357000000004,0.984615,0.92857143
fed_2025-10-29,2025-10-29,quiet,12,0.8877551,1.0,-0.05972789166666662,0.09960632798925408,-0.00935374,-0.05959183999999984,0.92,0.9795918399999999
fed_2025-12-10,2025-12-10,mixed,10,0.8265306099999999,1.0,-0.34892520899999996,0.3252430077459497,-0.0071428559999999995,-0.3936737600000001,0.575714,0.96938776
fed_2026-01-28,2026-01-28,quiet,12,0.91836735,1.0,-0.0025850341666666665,-0.01327218694722552,-0.0042517,-0.009795919999999958,0.98,0.9897959199999999
fed_2026-03-18,2026-03-18,quiet,10,0.9795918399999999,1.0,0.0020298720000000436,-0.014587355252598995,-0.001020408,0.0,1.0,1.0
